,Vtot,Vcap,V,dVtot,dVcap,dV,theta,M,Date,Close,Signal
0,200000.03174603175,10000.0,190000.0,0.0,0.031746031746031744,0.0,0.0,0.0,2014-01-02,30.05500030517578,0
1,200000.66666676744,10000.634920735702,190000.0,0.634920735701688,0.634920735701688,-0.0,0.0,0.0,2014-01-03,30.03499984741211,0
2,204741.544182477,10000.66666888385,194740.8457675614,4740.877515709564,0.031748148148468075,4740.845767561415,1140000.0,190000.0,2014-01-06,30.15999984741211,1
3,208530.79422644386,10000.705867684688,198530.0566127274,3789.250043966854,0.03919880083702948,3789.210845166017,1143779.8552868783,190629.97588114638,2014-01-07,30.260000228881836,0
4,204384.94676874328,10000.757517109732,194384.15750560176,-4145.847457700592,0.051649425044826544,-4145.899107125637,1139622.0072618378,189937.0012103063,2014-01-08,30.149999618530273,0
5,211034.95903286015,10000.794587900738,201034.13269892763,6650.012264116872,0.03707079100689775,6649.975193325865,1146236.7720375606,191039.4620062601,2014-01-09,30.325000762939453,0
6,224994.25365562693,10000.843743720943,214993.37816587422,13959.294622766794,0.04915582020510475,13959.24546694659,1160033.1825541346,193338.86375902244,2014-01-10,30.690000534057617,0
7,228973.50050814621,10000.929837944912,218972.53892416952,3979.2468525192758,0.08609422396807366,3979.160758295308,1164001.9981627224,194000.33302712042,2014-01-13,30.795000076293945,0
8,225202.7955763928,10001.028735565362,215201.73509479567,-3770.7049317534115,0.09889762045047829,-3770.803829373862,1160222.1428758441,193370.35714597403,2014-01-14,30.69499969482422,0
9,224066.86690249314,10001.117683961984,214065.7174724994,-1135.9286738996486,0.08894839662141482,-1136.01762229627,1159088.2367561008,193181.37279268345,2014-01-15,30.665000915527344,0
10,229761.19540825317,10001.200852118362,219759.96281010305,5694.32850576002,0.08316815637773721,5694.245337603642,1164757.9836390465,194126.33060650775,2014-01-16,30.815000534057617,0
11,234883.19153335944,10001.297475449373,224881.8623118783,5121.996125106263,0.09662333101268435,5121.89950177525,1169860.7774621209,194976.7962436868,2014-01-17,30.950000762939453,0
12,236204.48306679455,10001.407714075856,226203.04360668693,1321.2915334351264,0.1102386264823332,1321.181294808644,1171183.7159983169,195197.2859997195,2014-01-21,30.985000610351562,0
13,233561.45261705515,10001.522847899687,223559.89802312368,-2643.0304497394077,0.11513382383094561,-2643.1455835632387,1168537.8389259249,194756.30648765413,2014-01-22,30.915000915527344,0
14,247517.56840643522,10001.624252745178,237515.91240765827,13956.115789380072,0.10140484549066298,13956.014384534581,1182334.249442499,197055.70824041648,2014-01-23,31.280000686645508,0
15,254739.6689956867,10001.761099742982,244737.87614991196,7222.10058925148,0.13684699780336168,7221.963742253677,1189515.8951833502,198252.64919722502,2014-01-24,31.469999313354492,0
16,247411.5388562398,10001.92142048231,237409.58568972573,-7328.13013944691,0.16032073932781196,-7328.290460186238,1182145.2170260462,197024.20283767438,2014-01-27,31.274999618530273,0
17,250060.18558341305,10002.060160361494,240058.09367701982,2648.6467271732613,0.13873987918472244,2648.5079872940764,1184791.0940984383,197465.1823497397,2014-01-28,31.344999313354492,0
18,259390.0360671718,10002.20197025851,249387.80235088157,9329.850483758753,0.1418098970157063,9329.708673861738,1194051.7359465528,199008.6226577588,2014-01-29,31.59000015258789,0
19,254493.29110912883,10002.371971329787,244490.88739176732,-4896.744958042979,0.17000107127677913,-4896.914959114256,1189137.902445188,198189.65040753133,2014-01-30,31.459999084472656,0
20,264014.8080933788,10002.523995515916,254012.25235183115,9521.516984249964,0.15202418612951896,9521.364960063835,1198587.504615012,199764.584102502,2014-01-31,31.709999084472656,0
21,274304.1090300062,10002.69774355124,264301.3795404233,10289.300936627427,0.1737480353236631,10289.127188592103,1208793.0922611605,201465.51537686007,2014-02-03,31.979999542236328,0
22,264181.5626736261,10002.90479778715,254178.62612980726,-10122.546356380099,0.20705423590973393,-10122.75341061601,1198587.504615012,199764.584102502,2014-02-04,31.709999084472656,0
23,253131.7197448815,10003.088896089363,243128.59910276043,-11049.842928744625,0.18409830221119605,-11050.027027046837,1187437.0432655732,197906.17387759555,2014-02-05,31.415000915527344,0
24,258475.96128507188,10003.11668253559,248472.8128565046,5344.241540190397,0.027786446228114076,5344.2137537441695,-1458771.5946165626,243128.59910276043,2014-02-06,31.299999237060547,-1
25,257313.3184824582,10003.152761483574,247310.13397494296,-1162.6428026136668,0.03607894798385913,-1162.6788815616508,-1459936.8187911063,243322.80313185105,2014-02-07,31.325000762939453,0
26,254281.79999170438,10003.190221556793,244278.5780241159,-3031.5184907538373,0.037460073219155635,-3031.5559508270567,-1462966.152741373,243827.69212356218,2014-02-10,31.389999389648438,0
27,261704.25642589992,10003.218071405872,251701.00660846237,7422.4564341955465,0.027849849077971604,7422.428584346469,-1455509.1802737378,242584.8633789563,2014-02-11,31.229999542236328,0
28,269357.67001292703,10003.274740999506,259354.36352589587,7653.413587027123,0.056669593633209135,7653.35691743349,-1447819.2163076678,241303.20271794463,2014-02-12,31.065000534057617,0
29,260215.97451630377,10003.337930929716,250212.6048393424,-9141.695496623248,0.06318993021065336,-9141.758686553458,-1456907.3959467157,242817.89932445262,2014-02-13,31.260000228881836,0
30,261848.86234269728,10003.3800022227,251845.45059444293,1632.88782639349,0.04207129298512674,1632.845755100505,-1455276.1887753033,242546.03146255054,2014-02-14,31.225000381469727,0
31,256708.29733727768,10003.431247765417,246704.83434348062,-5140.565005419606,0.05124554271676316,-5140.616250962323,-1460402.8017879752,243400.46696466254,2014-02-18,31.334999084472656,0
32,262745.99785102735,10003.471018940894,252742.4950860548,6037.700513749662,0.03977117547701305,6037.660742574185,-1454344.044993318,242390.67416555298,2014-02-19,31.204999923706055,0
33,264611.8990366373,10003.528424561628,254608.33886604404,1865.9011856099464,0.057405620732728375,1865.8437799892138,-1452479.8463234708,242079.97438724514,2014-02-20,31.165000915527344,0
34,259236.5378665278,10003.58853190167,249232.91758859452,-5375.36117010947,0.06010734004218636,-5375.421277449512,-1457839.539728701,242973.2566214502,2014-02-21,31.280000686645508,0
35,262727.7380140037,10003.635325967507,252724.07094200462,3491.2001474759313,0.04679406583604117,3491.1533534100954,-1454344.044993318,242390.67416555298,2014-02-24,31.204999923706055,0
36,250270.39102165034,10003.698359707967,240266.6609159108,-12457.346992353381,0.06303374045967851,-12457.410026093841,-1440213.5486911167,240035.59144851947,2014-02-25,31.475000381469727,0
37,256449.6176359486,10003.72614784715,246445.85974206988,6179.226614298258,0.02778813918260979,6179.198826159075,1441599.9654954649,240266.66091591082,2014-02-26,31.610000610351562,1
38,263779.4933000816,10003.767722299115,253775.6938317509,7329.8756641329865,0.041574451964736366,7329.834089681021,1448896.8895718611,241482.81492864352,2014-02-27,31.770000457763672,0
39,264232.3075506229,10003.820628648957,254228.45517594236,452.814250541319,0.052906349841499674,452.76134419147746,1449352.9581999104,241558.82636665172,2014-02-28,31.780000686645508,0
40,270411.27443307533,10003.880760172617,260407.36192687112,6178.966882452427,0.06013152365947034,6178.906750928768,1455509.7541992816,242584.95903321358,2014-03-03,31.915000915527344,0
41,251504.99499997712,10003.966923292915,241500.99633065262,-18906.2794330982,0.08616312029919443,-18906.3655962185,1436355.306752192,239392.55112536534,2014-03-04,31.4950008392334,0
42,253555.66360415652,10004.004289641018,243551.6275684839,2050.6686041793932,0.037366348102934835,2050.6312378312905,1438407.5720853158,239734.59534755265,2014-03-05,31.540000915527344,0
43,265838.3614520052,10004.036048485576,255834.29365748802,12282.69784784867,0.031758844557690846,12282.666089004113,-1461309.7654109034,243551.6275684839,2014-03-06,31.274999618530273,-1
44,274435.93063762266,10004.111373573953,264431.78751801705,8597.569185617423,0.07532508837742692,8597.493860529046,-1452665.7516786945,242110.95861311574,2014-03-07,31.09000015258789,0
45,273739.4691443628,10004.21362171822,263735.2237766129,-696.4614932598793,0.10224814426660425,-696.5637414041458,-1453366.5911618539,242227.76519364232,2014-03-10,31.104999542236328,0
46,270231.36686450074,10004.311804706605,260227.02331376247,-3508.1022798620274,0.09818298838548944,-3508.200462850413,-1456870.9668176016,242811.8278029336,2014-03-11,31.18000030517578,0
47,259173.05667004207,10004.393041183057,249168.63188282735,-11058.310194458661,0.08123647645151895,-11058.391430935113,-1467851.2606936337,244641.87678227227,2014-03-12,31.415000915527344,0
48,242397.5928612861,10004.481834077815,232393.07928117662,-16775.463808755965,0.0887928947583095,-16775.552601650725,-1387219.7689270475,231203.29482117458,2014-03-13,31.795000076293945,0
49,242831.75458520677,10004.513594438387,232827.20924473673,434.1617239206795,0.031760360571776246,434.12996356010774,1394358.4756870596,232393.0792811766,2014-03-14,31.80500030517578,1
50,233764.0616258304,10004.57508972434,223759.4547900744,-9067.69295937638,0.061495285953074005,-9067.754454662332,1340764.4370599308,223460.73950998846,2014-03-17,31.59000015258789,0
51,236950.61754528212,10004.606114432758,226945.97968481772,3186.555919451739,0.03102470841889264,3186.52489474332,1343947.6708432753,223991.2784738792,2014-03-18,31.665000915527344,0
52,227675.37164203706,10004.667989474636,217670.67190653077,-9275.245903245072,0.061875041877302354,-9275.30777828695,1304759.8761235913,217459.97935393188,2014-03-19,31.440000534057617,0
53,230172.01878921504,10004.699750426176,220167.28729275722,2496.6471471779937,0.031760951541289814,2496.6153862264523,-1306024.0314391847,217670.67190653077,2014-03-20,31.3799991607666,-1
54,242165.57484128446,10004.731511478545,232160.81158377425,11993.556052069413,0.03176105236970738,11993.524291017044,1321003.7237565434,220167.28729275722,2014-03-21,31.665000915527344,1
55,250768.4747201372,10004.804986191435,240763.6379879141,8602.899878852735,0.07347471289069654,8602.826404139845,1329555.9313913365,221592.65523188942,2014-03-24,31.8700008392334,0
56,247434.77710868884,10004.91117212112,237429.83419053606,-3333.697611448355,0.10618592968488197,-3333.8037973780397,1326218.4864502214,221036.41440837024,2014-03-25,31.790000915527344,0
57,256672.00477693227,10004.990120429096,246666.9829104715,9237.227668243426,0.07894830797753954,9237.148719935449,1335396.3605745833,222566.06009576388,2014-03-26,32.0099983215332,0
