,Vtot,Vcap,V,dVtot,dVcap,dV,theta,M,Date,Close,Signal
0,200000.0357142857,10000.0,190000.0,0.0,0.03571428571428571,0.0,0.0,0.0,2014-03-24,31.8700008392334,0
1,200000.75000012753,10000.714285841837,190000.0,0.7142858418367347,0.7142858418367347,-0.0,0.0,0.0,2014-03-25,31.790000915527344,0
2,213143.3835153489,10000.746034254536,203142.60176680866,13142.633515221343,0.03174841269881756,13142.601766808644,1900000.0,190000.0,2014-03-26,32.0099983215332,1
3,219988.01722975564,10000.817338300025,209987.1641771699,6844.633714406741,0.07130404548894832,6844.562410361252,1906826.0918633016,190682.60918633017,2014-03-27,32.125,0
4,214064.9988759927,10000.91225564456,204064.05090606242,-5923.018353762954,0.0949173445351225,-5923.113271107489,1900890.5370119205,190089.05370119205,2014-03-28,32.025001525878906,0
5,206406.3124699426,10000.955043637665,196405.3217120192,-7658.68640605009,0.04278799310564209,-7658.729194043196,1960940.4177162303,196094.04177162301,2014-03-31,31.899999618530273,1
6,189169.78975550795,10001.047404284547,179168.70663693766,-17236.522714434668,0.09236064688320186,-17236.61507508155,1773127.0870173401,177312.70870173402,2014-04-01,31.59000015258789,1
7,178539.02140606864,10001.123657521885,168537.86203426102,-10630.7683494393,0.0762532373379656,-10630.844602676638,1678188.833008776,167818.88330087758,2014-04-02,31.389999389648438,1
8,186587.52146841615,10001.155407234175,176586.33034689623,8048.500062347498,0.03174971229145276,8048.4683126352065,1685378.6203426102,168537.86203426102,2014-04-03,31.540000915527344,1
9,197337.14380002787,10001.209314983467,187335.89877075865,10749.62233161172,0.05390774929302353,10749.568423862427,1696065.8044111375,169606.58044111374,2014-04-04,31.739999771118164,0
10,206734.10917420514,10001.305012923776,196732.76844699561,9396.96537417727,0.09569794030981356,9396.869676236962,1705417.2051328006,170541.72051328007,2014-04-07,31.915000915527344,0
11,210745.86967371748,10001.418637124032,200744.4153223077,4011.7604995123493,0.11362420025527624,4011.646875312094,1709424.860937931,170942.48609379312,2014-04-08,31.989999771118164,0
12,203292.29600669906,10001.547372004934,193290.71292040838,-7453.573667018422,0.12873488090138546,-7453.702401899323,1701943.8218978106,170194.38218978106,2014-04-09,31.850000381469727,0
13,220885.59950876405,10001.57912306235,210883.98467141594,17593.30350206499,0.03175105741679583,17593.271751007574,1932907.1292040837,193290.71292040838,2014-04-10,32.13999938964844,1
